ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 0 
Latest ADC value is = 44 
Latest ADC value is = 147 
Latest ADC value is = 222 
Latest ADC value is = 245 
Latest ADC value is = 243 
Latest ADC value is = 240 
Latest ADC value is = 239 
Latest ADC value is = 238 
Latest ADC value is = 238 
Latest ADC value is = 238 
Latest ADC value is = 238 
Latest ADC value is = 238 
Latest ADC value is = 239 
Latest ADC value is = 239 
Latest ADC value is = 239 
Latest ADC value is = 239 
Latest ADC value is = 239 
Latest ADC value is = 240 
Latest ADC value is = 240 
Latest ADC value is = 241 
Latest ADC value is = 245 
Latest ADC value is = 253 
Latest ADC value is = 263 
Latest ADC value is = 272 
Latest ADC value is = 284 
Latest ADC value is = 309 
Latest ADC value is = 336 
Latest ADC value is = 373 
Latest ADC value is = 411 
Latest ADC value is = 438 
Latest ADC value is = 445 
Latest ADC value is = 443 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 441 
Latest ADC value is = 443 
Latest ADC value is = 444 
Latest ADC value is = 444 
Latest ADC value is = 443 
Latest ADC value is = 443 
Latest ADC value is = 442 
Latest ADC value is = 441 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 441 
Latest ADC value is = 440 
Latest ADC value is = 440 
Latest ADC value is = 441 
Latest ADC value is = 444 
Latest ADC value is = 448 
Latest ADC value is = 470 
Latest ADC value is = 520 
Latest ADC value is = 561 
Latest ADC value is = 573 
Latest ADC value is = 583 
Latest ADC value is = 618 
Latest ADC value is = 669 
Latest ADC value is = 725 
Latest ADC value is = 746 
Latest ADC value is = 755 
Latest ADC value is = 748 
Latest ADC value is = 748 
Latest ADC value is = 748 
Latest ADC value is = 748 
Latest ADC value is = 748 
Latest ADC value is = 747 
Latest ADC value is = 747 
Latest ADC value is = 747 
Latest ADC value is = 746 
Latest ADC value is = 750 
Latest ADC value is = 750 
Latest ADC value is = 750 
Latest ADC value is = 756 
Latest ADC value is = 774 
Latest ADC value is = 802 
Latest ADC value is = 832 
Latest ADC value is = 841 
Latest ADC value is = 841 
Latest ADC value is = 848 
Latest ADC value is = 856 
Latest ADC value is = 875 
Latest ADC value is = 888 
Latest ADC value is = 888 
Latest ADC value is = 896 
Latest ADC value is = 910 
Latest ADC value is = 915 
Latest ADC value is = 926 
Latest ADC value is = 926 
Latest ADC value is = 924 
Latest ADC value is = 923 
Latest ADC value is = 923 
Latest ADC value is = 923 
Latest ADC value is = 920 
Latest ADC value is = 924 
Latest ADC value is = 924 
Latest ADC value is = 924 
Latest ADC value is = 924 
Latest ADC value is = 926 
Latest ADC value is = 928 
Latest ADC value is = 931 
Latest ADC value is = 982 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1022 
Latest ADC value is = 1022 
Latest ADC value is = 1021 
Latest ADC value is = 1017 
Latest ADC value is = 1022 
Latest ADC value is = 1022 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value is = 1023 
Latest ADC value 
